Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble,Price_Change,Price_Range,Returns,SMA_5,SMA_20,Volatility,Close_lag_1,Volume_lag_1
2002-03-26,RELIANCE,EQ,303.8,302.4,302.5,298.8,300.7,300.0,300.08,1259479,37794929330000.0,689173.0,0.5472,-2.3999999999999773,3.6999999999999886,-0.012508229098090906,302.14,306.89250000000004,9.169633451320328,303.8,1913748.0
2002-03-27,RELIANCE,EQ,300.0,302.9,303.4,294.85,300.5,300.1,298.89,2345581,70107492879999.99,816207.0,0.348,-2.7999999999999545,8.549999999999955,0.00033333333333351867,302.24,305.83,8.620971980857533,300.0,1259479.0
2002-03-28,RELIANCE,EQ,300.1,301.0,303.25,297.55,300.15,300.3,300.7,3009655,90501642750000.0,1458332.0,0.4846,-0.6999999999999886,5.699999999999989,0.0006664445184938472,301.55,304.5575,7.3035369045266965,300.1,2345581.0
2002-04-01,RELIANCE,EQ,300.3,301.65,308.3,299.3,299.9,302.15,303.88,2517677,76506333485000.0,491139.0,0.1951,0.5,9.0,0.0061605061605061184,301.27,304.2725,7.2794677906962,300.3,3009655.0
2002-04-02,RELIANCE,EQ,302.15,300.5,304.25,300.5,304.1,303.55,303.01,1501937,45509469375000.0,747307.0,0.4976,3.0500000000000114,3.75,0.004633460201886486,301.21999999999997,303.335,5.915081082328487,302.15,2517677.0
2002-04-03,RELIANCE,EQ,303.55,303.45,303.45,297.55,299.2,298.95,300.32,1054076,31655626485000.004,397510.0,0.3771,-4.5,5.899999999999977,-0.015154010871355705,301.01,302.6,5.46182926750393,303.55,1501937.0
2002-04-04,RELIANCE,EQ,298.95,300.5,319.9,300.5,305.15,305.35,307.8,9876960,304015098595000.0,2488397.0,0.2519,4.850000000000023,19.399999999999977,0.021408262251212617,302.06000000000006,302.18,4.847744999372542,298.95,1054076.0
2002-04-05,RELIANCE,EQ,305.35,306.25,311.0,305.0,305.75,305.7,307.8,3322935,102279995825000.0,763802.0,0.2299,-0.5500000000000114,6.0,0.0011462256427050566,303.14,302.0825,4.75057544990681,305.35,9876960.0
2002-04-08,RELIANCE,EQ,305.7,307.25,308.2,302.05,303.0,303.0,304.92,1721676,52498187395000.0,691881.0,0.4019,-4.25,6.149999999999977,-0.008832188420019538,303.31,301.66749999999996,4.237839413513807,305.7,3322935.0
2002-04-09,RELIANCE,EQ,303.0,303.5,304.15,299.2,300.25,300.15,301.27,1413186,42575054220000.0,399971.0,0.283,-3.3500000000000227,4.949999999999989,-0.009405940594059525,302.63,301.3275,4.060803491920572,303.0,1721676.0
2002-04-10,RELIANCE,EQ,300.15,300.0,302.2,294.4,296.25,296.25,296.97,2669631,79278720180000.0,1145451.0,0.4291,-3.75,7.800000000000011,-0.012993503248375782,302.09000000000003,301.21750000000003,4.17115013168394,300.15,1413186.0
2002-04-11,RELIANCE,EQ,296.25,298.15,300.45,295.3,296.25,296.55,298.11,807700,24078359985000.0,211176.0,0.2615,-1.599999999999966,5.149999999999977,0.0010126582278482399,300.33,301.4325,3.7767737206293392,296.25,2669631.0
2002-04-12,RELIANCE,EQ,296.55,296.85,299.8,295.55,297.7,298.25,297.67,1022282,30430366625000.0,320107.0,0.3131,1.3999999999999773,4.25,0.005732591468555093,298.84000000000003,301.6625,3.399066241746945,296.55,807700.0
2002-04-15,RELIANCE,EQ,298.25,298.0,299.85,293.35,294.55,294.45,296.4,648078,19209069865000.0,221157.0,0.3413,-3.5500000000000114,6.5,-0.012740989103101508,297.13,301.51000000000005,3.654470945941572,298.25,1022282.0
2002-04-16,RELIANCE,EQ,294.45,294.0,295.35,287.35,288.5,289.05,291.52,1507968,43960235895000.0,221157.0,0.3413,-4.949999999999989,8.0,-0.018339276617422184,294.90999999999997,300.56,4.28078940088521,294.45,648078.0
2002-04-17,RELIANCE,EQ,289.05,291.85,292.4,288.65,290.5,290.05,290.29,938150,27233405610000.004,320583.0,0.3417,-1.8000000000000114,3.75,0.0034596090641756394,293.66999999999996,299.7275,4.628728227061342,289.05,1507968.0
2002-04-18,RELIANCE,EQ,290.05,292.0,295.75,291.0,292.5,292.35,293.5,1930976,56674491385000.0,713826.0,0.3697,0.35000000000002274,4.75,0.007929667298741672,292.83000000000004,299.365,4.914321177087778,290.05,938150.0
2002-04-19,RELIANCE,EQ,292.35,292.55,299.0,282.25,285.15,284.7,288.34,1922269,55426919020000.01,949819.0,0.4941,-7.850000000000023,16.75,-0.026167265264238182,290.12,298.4125,5.788142939164959,292.35,1930976.0
2002-04-22,RELIANCE,EQ,284.7,285.0,289.45,280.25,289.0,287.25,285.32,1757052,50132489105000.0,544540.0,0.3099,2.25,9.199999999999989,0.008956796628029506,288.68,297.59749999999997,6.1621611682227755,284.7,1922269.0
2002-04-23,RELIANCE,EQ,287.25,288.2,294.6,286.15,291.5,291.2,291.16,3663176,106655762100000.0,829491.0,0.2264,3.0,8.450000000000045,0.013751087902523995,289.11,296.9675,6.138709683552584,287.25,1757052.0
